# Created with the `Biostrings` R module:
#   if (!requireNamespace("BiocManager", quietly = TRUE))
#     install.packages("BiocManager")
#   BiocManager::install("Biostrings")
#   library(Biostrings)
#   nsm <- nucleotideSubstitutionMatrix(match=1, mismatch=-2, baseOnly=FALSE, type="DNA")
#   print(nsm)
    A     C     G     T     M     R     W     S     Y     K     V     H     D     B     N
A   1    -2    -2    -2    -0.5  -0.5  -0.5  -2    -2    -2    -1    -1    -1    -2    -1.25
C  -2     1    -2    -2    -0.5  -2    -2    -0.5  -0.5  -2    -1    -1    -2    -1    -1.25
G  -2    -2     1    -2    -2    -0.5  -2    -0.5  -2    -0.5  -1    -2    -1    -1    -1.25
T  -2    -2    -2     1    -2    -2    -0.5  -2    -0.5  -0.5  -2    -1    -1    -1    -1.25
M  -0.5  -0.5  -2    -2    -0.5  -1.25 -1.25 -1.25 -1.25 -2    -1    -1    -1.5  -1.5  -1.25
R  -0.5  -2    -0.5  -2    -1.25 -0.5  -1.25 -1.25 -2    -1.25 -1    -1.5  -1    -1.5  -1.25
W  -0.5  -2    -2    -0.5  -1.25 -1.25 -0.5  -2    -1.25 -1.25 -1.5  -1    -1    -1.5  -1.25
S  -2    -0.5  -0.5  -2    -1.25 -1.25 -2    -0.5  -1.25 -1.25 -1    -1.5  -1.5  -1    -1.25
Y  -2    -0.5  -2    -0.5  -1.25 -2    -1.25 -1.25 -0.5  -1.25 -1.5  -1    -1.5  -1    -1.25
K  -2    -2    -0.5  -0.5  -2    -1.25 -1.25 -1.25 -1.25 -0.5  -1.5  -1.5  -1    -1    -1.25
V  -1    -1    -1    -2    -1    -1    -1.5  -1    -1.5  -1.5  -1    -1.33 -1.33 -1.33 -1.25
H  -1    -1    -2    -1    -1    -1.5  -1    -1.5  -1    -1.5  -1.33 -1    -1.33 -1.33 -1.25
D  -1    -2    -1    -1    -1.5  -1    -1    -1.5  -1.5  -1    -1.33 -1.33 -1    -1.33 -1.25
B  -2    -1    -1    -1    -1.5  -1.5  -1.5  -1    -1    -1    -1.33 -1.33 -1.33 -1    -1.25
N  -1.25 -1.25 -1.25 -1.25 -1.25 -1.25 -1.25 -1.25 -1.25 -1.25 -1.25 -1.25 -1.25 -1.25 -1.25
